Number,Job Title,Group,Division,Manager Job Title
10623,Customer Service Officer,Neighbourhoods & Communities,Aquatics,Customer Services Lead
10624,Host | Pou Tiaki,Neighbourhoods & Communities,Neighbourhood Hubs & Library Services,Host Lead | Pou Tiaki Lead
10625,Kaiwhakarite | Coordinator,Office of the Chief Executive,Te Tira M?ori,Tumuaki Maori | Chief Maori Officer
10626,Community Facilitator - Rangitahi,Neighbourhoods & Communities,Connected Communities,Programmes & Innovation Manager
10627,City Safety Coordinator,Neighbourhoods & Communities,Connected Communities,City Safety Manager
10628,Animal Services Team Lead,Environment & Sustainability,Environmental Protection,Animal Services Manager
10629,Strategic Advisor,Environment & Sustainability,Environment & Sustainability,Director Environment & Sustainability
10630,Community Funding & Contracts Advisor,Neighbourhoods & Communities,Connected Communities,Head Of Connected Communities
10631,Learn To Swim Instructor,Neighbourhoods & Communities,Aquatics,Swim School Lead
10632,Learn To Swim Instructor,Neighbourhoods & Communities,Aquatics,Swim School Lead
10633,Learn To Swim Instructor,Neighbourhoods & Communities,Aquatics,Swim School Lead
10634,Learn To Swim Instructor,Neighbourhoods & Communities,Aquatics,Swim School Lead
10635,Project Coordinator,Economy & Development,Transport,Project Delivery Manager
10636,Host | Pou Tiaki,Neighbourhoods & Communities,Arts & Culture,Front Of House Team Leader
10637,Corporate Communications Lead,Strategy & Engagement,"Customer, Communications & Engagement","Head Of Customer, Communications & Engagement"
10638,Community Facilitator,Neighbourhoods & Communities,Connected Communities,Programmes & Innovation Manager
10639,Host | Pou Tiaki,Neighbourhoods & Communities,Neighbourhood Hubs & Library Services,Site Lead | Pou Whakahaere Pokapu Hapori
10640,Lifeguard,Neighbourhoods & Communities,Aquatics,Operations Lead
10641,Site Lead | Pou Whakahaere Pokapu Hapori,Neighbourhoods & Communities,Neighbourhood Hubs & Library Services,Manager Neighbourhood Hubs - North
10642,Senior Urban Designer,Economy & Development,Urban Development,Urban Design Lead
10643,Senior Communications & Engagement Advisor,Strategy & Engagement,"Customer, Communications & Engagement",Communications & Engagement Project Lead
10644,Host | Pou Tiaki,Neighbourhoods & Communities,Neighbourhood Hubs & Library Services,Site Lead | Pou Whakahaere Pokapu Hapori
10645,Administration Coordinator,Neighbourhoods & Communities,Neighbourhood Hubs & Library Services,Operations Support Manager
10646,Events Lead,Strategy & Engagement,"Customer, Communications & Engagement","Head Of Customer, Communications & Engagement"
10647,Fitness Suite Lead,Neighbourhoods & Communities,Aquatics,Facility Manager
10648,Leasing Coordinator,Neighbourhoods & Communities,Parks & Reserves,Parks Project Manager
10649,Fitness Instructor,Neighbourhoods & Communities,Aquatics,Fitness Suite Lead
10650,Head of Connected Communities,Neighbourhoods & Communities,Connected Communities,Director Neighbourhoods & Communities
10651,Customer Service Team Leader,Strategy & Engagement,"Customer, Communications & Engagement",Customer Manager
10652,Environmental Health Officer,Environment & Sustainability,Environmental Protection,Food Team Lead
10653,Lifeguard,Neighbourhoods & Communities,Aquatics,Operations Lead
10654,Security Analyst,Office of the Chief Executive,Information Services,Operations Manager
10655,Learn To Swim Instructor,Neighbourhoods & Communities,Aquatics,Swim School Lead
10656,Learn To Swim Instructor,Neighbourhoods & Communities,Aquatics,Swim School Lead
10657,Housing & Development Lead,Economy & Development,Urban Development,Head Of Urban Development
10658,Fitness Instructor,Neighbourhoods & Communities,Aquatics,Fitness Suite Lead
10659,Lifeguard,Neighbourhoods & Communities,Aquatics,Operations Lead
10660,Fitness Instructor,Neighbourhoods & Communities,Aquatics,Fitness Suite Lead
10661,Customer Service Representative,Strategy & Engagement,"Customer, Communications & Engagement",Customer Service Team Leader
10662,Fitness Instructor,Neighbourhoods & Communities,Aquatics,Fitness Suite Lead
10663,Customer Service Representative,Strategy & Engagement,"Customer, Communications & Engagement",Customer Service Team Leader
10664,Lifeguard Shift Supervisor,Neighbourhoods & Communities,Aquatics,Operations Lead
10665,Operations Lead,Neighbourhoods & Communities,Aquatics,Facility Manager
10666,Lifeguard,Neighbourhoods & Communities,Aquatics,Operations Lead
10667,Accounts Receivable Team Leader,Office of the Chief Executive,Finance,Financial Transaction Service Manager
10668,Host | Pou Tiaki,Neighbourhoods & Communities,Neighbourhood Hubs & Library Services,Host Lead | Pou Tiaki Lead
10669,Strategic Financial Advisor,Office of the Chief Executive,Finance,Manager Financial Planning & Performance
10670,Host | Pou Tiaki,Neighbourhoods & Communities,Neighbourhood Hubs & Library Services,Site Lead | Pou Whakahaere Pokapu Hapori
10671,Project Manager,Economy & Development,Assets & Facilities Management,Head Of Assets & Facilities Management
10672,Transport Data Analyst,Economy & Development,Transport,Business Manager
10673,HR Business Partner,Office of the Chief Executive,People & Capability,Hr Advisory Manager
10674,HR Coordinator,Office of the Chief Executive,People & Capability,Hr Systems & Services Lead
10675,Health & Safety Advisor,Office of the Chief Executive,People & Capability,Health & Safety Manager
10676,Learn To Swim Instructor,Neighbourhoods & Communities,Aquatics,Swim School Lead
10677,Learn To Swim Instructor,Neighbourhoods & Communities,Aquatics,Swim School Lead
10678,Fitness Instructor,Neighbourhoods & Communities,Aquatics,Fitness Suite Lead
10679,Collections Technician,Neighbourhoods & Communities,Arts & Culture,Collections Manager
10680,Transport Asset Lead,Economy & Development,Transport,Head Of Transport
10681,Learn To Swim Instructor,Neighbourhoods & Communities,Aquatics,Swim School Lead
10682,Learn To Swim Instructor,Neighbourhoods & Communities,Aquatics,Swim School Lead
10683,Host | Pou Tiaki,Neighbourhoods & Communities,Neighbourhood Hubs & Library Services,Host Lead | Pou Tiaki Lead
10684,Senior Building Officer,Environment & Sustainability,Building Control,Inspections Team Lead
10685,Communications & Engagement Advisor,Strategy & Engagement,"Customer, Communications & Engagement",Communications & Engagement Project Lead
10686,Learn To Swim Instructor,Neighbourhoods & Communities,Aquatics,Swim City Manager
10687,Learn To Swim Instructor,Neighbourhoods & Communities,Aquatics,Swim School Lead
10688,Customer Service Representative,Strategy & Engagement,"Customer, Communications & Engagement",Customer Service Team Leader
10689,Customer Service Representative,Strategy & Engagement,"Customer, Communications & Engagement",Customer Service Team Leader
